Country Name,Course Lavel,University Name,Course,Ranking,,
Australia,Undergraduate,Agriculture & Forestry,Western Sydney University,,,
Australia,Undergraduate,Agriculture & Forestry,The University of Melbourne,#=41 QS World University Rankings 2018,,
Australia,Undergraduate,Agriculture & Forestry,La Trobe University,#360 QS World University Rankings 2018,,
Australia,Undergraduate,Agriculture & Forestry,University of New England Australia,#801-1000 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,University of Wollongong,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,Queensland University of Techn ...,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,The Australian National University,#20 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,Edith Cowan University,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,University of Technology Sydney,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,The University of Queensland,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,Australian Catholic University,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,Deakin University,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,The University of Sydney,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,The University of New South Wa ...,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,Griffith University,#=325 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,Curtin University,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,,,,
Australia,Undergraduate,Anatomy & Physiology,The University of Adelaide,,,
Australia,Undergraduate,Anatomy & Physiology,Murdoch University,#501-550 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,University of Canberra,,,
Australia,Undergraduate,Anatomy & Physiology,Western Sydney University,,,
Australia,Undergraduate,Anatomy & Physiology,The University of Melbourne,#=41 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,La Trobe University,#360 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,Swinburne University of Technology,#421-430 QS World University Rankings 2018,,
Australia,Undergraduate,Anatomy & Physiology,University of New England Australia,#801-1000 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,The Australian National University,#20 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,The University of Queensland,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,Curtin University,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,The University of Sydney,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,University of Wollongong,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,Deakin University,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,The University of Western Australia,#=93 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,Monash University,#60 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,Curtin University - Faculty of ...,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,,,,
Australia,Undergraduate,Anthropology,The University of Adelaide,,,
Australia,Undergraduate,Anthropology,University of Canberra,,,
Australia,Undergraduate,Anthropology,The University of Melbourne,#=41 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,La Trobe University,#360 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,Swinburne University of Technology,#421-430 QS World University Rankings 2018,,
Australia,Undergraduate,Anthropology,University of New England Australia,#801-1000 QS World University Rankings 2018,,
Australia,Undergraduate,Archaeology,The University of Queensland,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,Monash University,#60 QS World University Rankings 2018,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
Australia,Undergraduate,Archaeology,,,,
