College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Arunachal University of Studies - [AUS], Lohit","5.2/10","Lohit, Arunachal Pradesh","UGC","₹44 K / yr Bachelor of Physio...",,""
"Government Motilal Vigyan Mahavidyalaya, Bhopal","5.1/10","Bhopal, Madhya Pradesh","NAAC-A","₹6.66 K / yr B.Sc (Medicine) - ...",,""
"Aryabhatta Knowledge University - [AKU], Patna","5.1/10","Patna, Bihar","UGC","₹8.06 K / yr BAMS - avg fee",,""
"Patna University - [PU], Patna","5.1/10","Patna, Bihar","BCI, AICTE, UGC, DEB","₹8.5 K / yr PG Diploma in Medi...",,""
"Jayoti Vidyapeeth Women's University - [JVWU], Jaipur","5.1/10","Jaipur, Rajasthan","NCTE, PCI, CCH, CCIM, BCI","₹3.82 L / yr BAMS - avg fee",,"3.4 / 5 5 reviews"
"University of Kerala - [KU], Thiruvananthapuram","5.1/10","Thiruvananthapuram, Kerala","UGC, NAAC-A","₹17.2 K / yr M.Phil/Ph.D in Med...",,""
"Karnatak University - [KU], Dharwad","5.0/10","Dharwad, Karnataka","UGC, NAAC-A","₹4.22 K / yr PG Diploma in Medi...",,""
"Dayanand Brajendra Swarup College - [DBS], Kanpur","4.9/10","Kanpur, Uttar Pradesh","UGC","₹7.23 K / yr B.Sc (Medicine) - ...",,""
"Nalanda Open University - [NOU], Patna","4.9/10","Patna, Bihar","UGC","₹4.4 K / yr PG Diploma in Medi...",,"2.8 / 5 1 reviews"
"University of Engineering and Management - [UEM Jaipur], Jaipur","4.9/10","Jaipur, Rajasthan","AICTE, UGC, AIU","₹50 K / yr Bachelor of Physio...",,""
"University of Burdwan, Bardhaman","4.9/10","Bardhaman, West Bengal","AICTE, UGC, NAAC-B, AIU","-- B.Sc (Medicine)",,"2.5 / 5 4 reviews"
"Dr NGP Arts and Science College, Coimbatore","4.9/10","Coimbatore, Tamil Nadu","NAAC, UGC","-- PG Diploma in Medi...",,"3.9 / 5 4 reviews"
"Rammohan College, Kolkata","4.9/10","Kolkata, West Bengal","NAAC-B","₹38.7 K / yr B.Sc (Medicine) - ...",,""
"Vidyasagar College, Kolkata","4.9/10","Kolkata, West Bengal","NAAC","₹5.45 K / yr B.Sc (Medicine) - ...",,""
"Bangalore University - [BU], Bangalore","4.9/10","Bangalore, Karnataka","UGC","₹10 K / yr B.Sc (Medicine) - ...",,"4.1 / 5 5 reviews"
"Punjab College of Technical Education - [PCTE], Ludhiana","4.9/10","Ludhiana, Punjab","AICTE","₹48 K / yr B.Sc (Medicine) - ...",,""
"RP Inderaprastha Institute of Technology - [RPIIT], Karnal","4.8/10","Karnal, Haryana","AICTE","-- Bachelor of Physio...",,""
"Surendra Group of Institutions - [SGI], Ganganagar","4.8/10","Ganganagar, Rajasthan","AICTE","-- Bachelor of Physio...",,
"Sri Siddhartha University, Tumkur","4.8/10","Tumkur, Karnataka","UGC","₹400 / yr MBBS - avg fee",,""
"Gautam Buddha University - [GBU], Greater Noida","4.8/10","Greater Noida, Uttar Pradesh","RCI, COA, BCI, NAAC, UGC","₹34 K / yr M.Sc (Medicine) - ...",,""
"Tantia University, Sriganganagar","4.8/10","Sriganganagar, Rajasthan","INC, CCH, BCI, AICTE, UGC","₹2.36 L / yr BAMS - avg fee",,""
"Dr. Shakuntala Misra National Rehabilitation University, Lucknow","4.8/10","Lucknow, Uttar Pradesh","AICTE, UGC","₹37.1 K / yr B.Sc (Medicine) - ...",,
"Mahatma Gandhi Kashi Vidyapith - [MGKV], Varanasi","4.7/10","Varanasi, Uttar Pradesh","NAAC, UGC","₹17.5 K / yr PG Diploma in Medi...",,""
"Tilak Maharashtra Vidyapeeth - [TMV], Pune","4.6/10","Pune, Maharashtra","NCTE, AICTE","₹86 K / yr Bachelor of Physio...",,"3.1 / 5 2 reviews"
"Stella Maris College, Chennai","4.6/10","Chennai, Tamil Nadu","NAAC, UGC","₹2 K / yr PG Diploma in Medi...",,""
"Dr B Lal Institute of Biotechnology, Jaipur","4.6/10","Jaipur, Rajasthan","AICTE","₹84 K / yr UG Diploma in Medi...",,""
"Institute of Public Health and Hygiene - [IPHH], New Delhi","4.6/10","New Delhi, Delhi NCR","","-- B.Sc (Medicine)",,""
"Dr. K.N. Modi University - [DKNMU] Newai, Tonk","4.6/10","Tonk, Rajasthan","AICTE, UGC","₹53.5 K / yr Diploma in Medical...",,""
"Parul University, Vadodara","4.6/10","Vadodara, Gujarat","COA, PCI, INC, GNC, MCI","₹2.23 L / yr BAMS - avg fee",,"3.6 / 5 15 reviews"
"C. U. Shah University, Wadhwan","4.6/10","Wadhwan, Gujarat","NCTE, PCI, BCI, AICTE, NAAC","₹35.8 K / yr B.Sc - avg fee",,""
"West Bengal State University - [WBSU], Barasat","4.8/10","Barasat, West Bengal","UGC","₹3.45 K / yr B.Sc (Medicine) - ...",,""
"Sardar Patel University - [SPU], Vallabh Vidyanagar","4.3/10","Vallabh Vidyanagar, Gujarat","AICTE","₹12.7 K / yr M.Phil/Ph.D in Med...",,""
"Veer Narmad South Gujarat University - [VNSGU], Surat","4.3/10","Surat, Gujarat","","₹3 L / yr MBBS - avg fee",,"3.8 / 5 10 reviews"
"Deshbandhu College for Girls, Kolkata","4.3/10","Kolkata, West Bengal","NAAC","-- B.Sc (Medicine)",,
"Integral University, Lucknow","4.3/10","Lucknow, Uttar Pradesh","PCI, MCI, NAAC, UGC","₹75 K / yr B.Sc (Medicine) - ...",,"3.5 / 5 28 reviews"
"The IIS University - [IISU], Jaipur","4.1/10","Jaipur, Rajasthan","UGC, NAAC-A","-- B.Sc (Medicine)",,"4.4 / 5 24 reviews"
"Meenakshi Academy of Higher Education and Research - [MAHER], Chennai","4.1/10","Chennai, Tamil Nadu","NAAC, UGC","-- Bachelor of Physio...",,"1.4 / 5 1 reviews"
"Ananda Mohan College - [AMC], Kolkata","3.8/10","Kolkata, West Bengal","NAAC","₹3.62 K / yr B.Sc (Medicine) - ...",,""
"Mahatma Jyoti Rao Phoole University - [MJRP], Jaipur","3.8/10","Jaipur, Rajasthan","NCTE, PCI, BCI, AICTE, UGC","₹35.3 K / yr B.Sc (Medicine) - ...",,"3.3 / 5 14 reviews"
"Rani Durgavati Vishwavidyalaya, Jabalpur","3.7/10","Jabalpur, Madhya Pradesh","UGC, NAAC-B","₹6.2 K / yr PG Diploma in Medi...",,""
"Royal PG College, Lucknow","3.3/10","Lucknow, Uttar Pradesh","","-- B.Sc (Medicine)",,""
"ADN Medical College and Paramedical Science, Nagpur","","Nagpur, Maharashtra","UGC","₹12 K / yr M.Sc (Medicine) - ...",,
"AWH Special College, Calicut","","Calicut, Kerala","RCI","₹94.9 K / yr B.Sc (Medicine) - ...",,""
"Acharya Brojendra Nath Seal College, Cooch Behar","","Cooch Behar, West Bengal","NAAC, UGC","₹2.48 K / yr B.Sc (Medicine) - ...",,""
"Ananda Chandra College, Jalpaiguri","","Jalpaiguri, West Bengal","UGC, NAAC-B","₹10.5 K / yr B.Sc (Medicine) - ...",,
"Annai Violet Arts and Science College, Chennai","","Chennai, Tamil Nadu","AICTE, NAAC","-- UG Diploma in Medi...",,
"PDEA's Annasaheb Magar College, Pune","","Pune, Maharashtra","NAAC","-- B.Sc (Medicine)",,
"Apex International College, Amritsar","","Amritsar, Punjab","AICTE","-- UG Diploma in Medi...",,""
"BBK DAV College for Women, Amritsar","","Amritsar, Punjab","NAAC, UGC","₹35 K / yr UG Diploma in Medi...",,
"Bajkul Milani Mahavidyalaya, Medinipur","","Medinipur, West Bengal","NAAC-B","₹8.89 K / yr B.Sc (Medicine) - ...",,
"Bankura Christian College - [BCC], Bankura","","Bankura, West Bengal","NAAC-A","-- B.Sc (Medicine)",,""
"Bareilly College, Bareilly","","Bareilly, Uttar Pradesh","UGC, NAAC-A","-- UG Diploma in Medi...",,""
"Basirhat College, North 24 Parganas","","North 24 Parganas, West Bengal","UGC","-- B.Sc (Medicine)",,""
"Berhampore Girls College, Murshidabad","","Murshidabad, West Bengal","NAAC, UGC","₹7.94 K / yr B.Sc (Medicine) - ...",,
"Bhairab Ganguly College, Kolkata","","Kolkata, West Bengal","NAAC-A","₹1.66 K / yr B.Sc (Medicine) - ...",,""
"Bhuwaneshwari Dayal College - [BDC] Mithapur, Patna","","Patna, Bihar","AICTE, UGC, NAAC-B","-- B.Sc (Medicine)",,""
"DBS PG College, Dehradun","","Dehradun, Uttarakhand","NAAC, UGC","-- UG Certificate in ...",,""
"Dantuluri Narayana Raju college - [DNR], Godavari","","Godavari, Andhra Pradesh","NAAC, NAAC-A","₹1.8 K / yr UG Certificate in ...",,""
"Dr. Kanailal Bhattacharyya College, Howrah","","Howrah, West Bengal","NAAC-B","₹5.64 K / yr B.Sc (Medicine) - ...",,
"Garhbeta College, Medinipur","","Medinipur, West Bengal","NCTE, NAAC","₹4.88 K / yr B.Sc (Medicine) - ...",,""
"Goutham College, Bangalore","","Bangalore, Karnataka","INC, AICTE","₹40 K / yr BAMS - avg fee",,""
"Government Degree College (Men) - [GDCSKLM], Srikakulam","","Srikakulam, Andhra Pradesh","NAAC-B","-- UG Certificate in ...",,
"Government Girl's Degree College, Nainital","","Nainital, Uttarakhand","NAAC","-- PG Diploma in Medi...",,
"Government College for Women, Thiruvananthapuram","","Thiruvananthapuram, Kerala","NAAC","-- B.Sc (Medicine)",,
"Govt Degree College Women, Srikakulam","","Srikakulam, Andhra Pradesh","UGC, NAAC-A","₹400 / yr UG Certificate in ...",,
"Guru Nanak Girls College, Yamuna Nagar","","Yamuna Nagar, Haryana","","-- B.Sc (Medicine)",,
"Hawabagh Women's College, Jabalpur","","Jabalpur, Madhya Pradesh","NCTE","-- B.Sc (Medicine)",,
"Holy Cross College (Autonomous), Thiruchirapalli","","Thiruchirapalli, Tamil Nadu","NAAC-A","₹868 / yr B.Sc (Medicine) - ...",,"3.8 / 5 2 reviews"
"Indian Institute of Public Health, Ahmedabad","","Ahmedabad, Gujarat","","₹1 L / yr Certificate in Med...",,""
"Indian Institute of Public Health - [IIPH], Gurgaon","","Gurgaon, Haryana","AICTE","₹36 K / yr PG Diploma in Medi...",,""
"Indian Management Academy - [IMA], Ahmedabad","","Ahmedabad, Gujarat","AICTE, UGC","-- M.Phil/Ph.D in Med...",,
"Jamshedpur Women's College, Jamshedpur","","Jamshedpur, Jharkhand","NAAC-A","₹10 K / yr PG Diploma in Medi...",,""
"Jaya College of Arts and Science - [JCAS], Chennai","","Chennai, Tamil Nadu","AICTE","-- UG Certificate in ...",,""
"Jhargram Raj College, Midnapore","","Midnapore, West Bengal","NAAC-B","₹893 / yr B.Sc (Medicine) - ...",,
"Jhunjhunwala Post Graduate College - [JPGC], Faizabad","","Faizabad, Uttar Pradesh","NAAC-B","-- B.Sc (Medicine)",,
"Kaivalyadhama Yoga Institute, Pune","","Pune, Maharashtra","","₹21 K / yr PG Diploma in Medi...",,
"Kalyani Mahavidyalaya, Nadia","","Nadia, West Bengal","UGC","₹2.57 K / yr B.Sc (Medicine) - ...",,""
"Katwa College, Bardhaman","","Bardhaman, West Bengal","NAAC-B","-- B.Sc (Medicine)",,""
"Maharani Kishori Jat Kanya Mahavidyalya, Rohtak","","Rohtak, Haryana","NAAC, UGC","-- PG Diploma in Medi...",,
"National Institute of Speech and Hearing, Thiruvananthapuram","","Thiruvananthapuram, Kerala","RCI","₹67.5 K / yr B.Sc (Medicine) - ...",,""
"Nitte Institute of Speech and Hearing - [NISH], Mangalore","","Mangalore, Karnataka","RCI","-- B.Sc (Medicine)",,
"PB Siddhartha College Arts and Science, Vijayawada","","Vijayawada, Andhra Pradesh","AICTE, UGC, NAAC-A","-- UG Certificate in ...",,""
"PK Roy Memorial College, Dhanbad","","Dhanbad, Jharkhand","UGC, NAAC-B","₹3 K / yr PG Diploma in Medi...",,""
"PNG Government PG College, Nainital","","Nainital, Uttarakhand","NCTE, NAAC, UGC","₹5.33 K / yr PG Diploma in Medi...",,
"Panskura Banamali College, Midnapore","","Midnapore, West Bengal","NAAC-A","₹1.59 K / yr B.Sc (Medicine) - ...",,""
"Premier College of Arts Commerce Science and Management Studies, Raigarh","","Raigarh, Maharashtra","AICTE, UGC","₹5 K / yr PG Diploma in Medi...",,
"Raja Narendra Lal Khan Women's College - [RNLKWC], Medinipur","","Medinipur, West Bengal","NAAC-A","₹4.5 K / yr B.Sc (Medicine) - ...",,"5 / 5 1 reviews"
"Saheed Mahilal Institute, Palwal","","Palwal, Haryana","UGC","-- PG Diploma in Medi...",,
"Siddhi Vinayak College of Profestional Studies, Panipat","","Panipat, Haryana","","-- MBBS",,""
"Sikh National College, Nawanshahr","","Nawanshahr, Punjab","","-- PG Diploma in Medi...",,
"Parvatibai Chowgule College of Arts and Science, Salcete","","Salcete, Goa","NAAC-A","₹58.9 K / yr PG Diploma in Medi...",,""
"St Aloysius College, Jabalpur","","Jabalpur, Madhya Pradesh","NAAC, UGC","-- B.Sc (Medicine)",,""
"St Paul's Cathedral Mission College, Kolkata","","Kolkata, West Bengal","NAAC","₹1.66 K / yr B.Sc (Medicine) - ...",,""
"St. Philomena College - [SPC], Puttur","","Puttur, Karnataka","UGC, NAAC-A","-- Diploma in Medical",,
"St. Philomena's College, Mysore","","Mysore, Karnataka","UGC, NAAC-A","-- Diploma in Medical",,""
"Surendranath College, Kolkata","","Kolkata, West Bengal","NAAC, UGC","₹5.25 K / yr B.Sc (Medicine) - ...",,""
"Suri Vidyasagar College - [SVC], Birbhum","","Birbhum, West Bengal","UGC","₹2.69 K / yr B.Sc (Medicine) - ...",,""
"Swami Vivekanand Institute of Management - [SVIM], Haridwar","","Haridwar, Uttarakhand","AICTE","-- UG Diploma in Medi...",,""
"Tamralipta Mahavidyalaya, Medinipur","","Medinipur, West Bengal","UGC, NAAC-A","₹2.12 K / yr B.Sc (Medicine) - ...",,
"Tararani Vidyapeeth's Kamala College, Kolhapur","","Kolhapur, Maharashtra","NAAC","-- PG Diploma in Medi...",,
"The Zamorins Guruvayurappan College - [ZGC], Kozhikode","","Kozhikode, Kerala","NAAC-B","₹45 K / yr M.Sc (Medicine) - ...",,
"VNS College of Arts and Science - [VNSC] Konni , Pathanamthitta","","Pathanamthitta, Kerala","AICTE, UGC","₹33 K / yr B.Sc (Medicine) - ...",,""
"Vikas Night College of Arts Science and Commerce, Mumbai","","Mumbai, Maharashtra","NAAC","-- B.Sc (Medicine)",,""
"Womens College, Agartala","","Agartala, Tripura","NAAC","-- B.Sc (Medicine)",,
"Zulal Bhilajirao Patil College, Dhule","","Dhule, Maharashtra","NAAC, UGC","₹1.25 K / yr UG Diploma in Medi...",,""
"United Theological College - [UTC], Bangalore","","Bangalore, Karnataka","","₹25 K / yr UG Certificate in ...",,
"Apeejay College of Fine Arts - [ACFA], Jalandhar","","Jalandhar, Punjab","UGC, NAAC-A","₹54.2 K / yr Bachelor of Physio...",,""
"Anushree Homoeopathic Medical College - [AHMC], Jabalpur","","Jabalpur, Madhya Pradesh","DCI","₹34 K / yr BHMS - avg fee",,
"Arihant Homoeopathic Medical College, Hospital & Research Centre, Barwani","","Barwani, Madhya Pradesh","AICTE, UGC","₹25.5 K / yr BHMS - avg fee",,
"Assam Govt Homoeopathic Medical College and Hospital - [AHMCH], Nagaon","","Nagaon, Assam","","-- BAMS",,
"ANSS Homeo Medical College, Kottayam","","Kottayam, Kerala","CCH","₹3.16 K / yr BHMS - avg fee",,
"Bakson Homoeopathic Medical College and Hospital - [BHMCH], Greater Noida","","Greater Noida, Uttar Pradesh","UGC","-- BHMS",,""
"Baroda Homeopathic Medical College - [BHMC], Vadodara","","Vadodara, Gujarat","CCH","₹92 K / yr BHMS - avg fee",,
"Bhagawan Buddha Homeopathic Medical College and Hospital, Bangalore","","Bangalore, Karnataka","MCI","₹72 K / yr BHMS - avg fee",,
"Burdwan Homoeopathic Medical College and Hospital Nutanganj, Bardhaman","","Bardhaman, West Bengal","AICTE","₹64.4 K / yr BHMS - avg fee",,
"Chandola Homoeopathic Medical College and Hospital, Udham Singh Nagar","","Udham Singh Nagar, Uttarakhand","NAAC","-- BHMS",,"4 / 5 1 reviews"
"DKMM Homoeopathic Medical College & Hospital, Aurangabad","","Aurangabad, Maharashtra","AICTE","₹62.4 K / yr BHMS - avg fee",,"4.6 / 5 1 reviews"
"District Homoeopathic Medical College and Hospital - [DHMCH], Ratlam","","Ratlam, Madhya Pradesh","CCH","₹56.1 K / yr BHMS - avg fee",,""
"Dr. Abhin Chandra Homoeopathic Medical College, Bhubaneswar","","Bhubaneswar, Orissa","MCI","₹5 K / yr BHMS - avg fee",,""
"Dr. B.D. Jatti Homoeopathic Medical College, Dharwad","","Dharwad, Karnataka","CCH","-- BHMS",,""
"Dr CC Mattei Electro Homoeopathic Alternative Medical College, Hyderabad","","Hyderabad, Telangana","AICTE","-- BHMS",,""
"Dr. Padiyar Memorial Homoeopathic Medical College Chottanikkara , Ernakulam","","Ernakulam, Kerala","CCH","₹3.24 K / yr BHMS - avg fee",,
"Dr RB Singh Gaya Homoeopathic Medical College & Hospital - [RBSGHMCH], Gaya","","Gaya, Bihar","CCH","-- BHMS",,
"EB Gadkari Homoeopathic Medical College - [EBGHMC], Kolhapur","","Kolhapur, Maharashtra","CCH","₹40 K / yr BHMS - avg fee",,""
"Government Homoeopathic Medical College, Calicut","","Calicut, Kerala","","-- MD",,
"Bharati Vidyapeeth University, Homoeopathic Medical College, Pune","","Pune, Maharashtra","NAAC-A","-- BHMS",,""
"Homoeopathic Medical College & Hospital, Chandigarh","","Chandigarh, Chandigarh","CCH","₹85 K / yr BHMS - avg fee",,
"JR Kissan Homoeopathic Medical College and Hospital, Rohtak","","Rohtak, Haryana","","-- BHMS",,
"Lord Mahavira Homoeopathic Medical College and Hospital, Ludhiana","","Ludhiana, Punjab","AICTE","-- BHMS",,""
"Magadh Homoeopathic Medical College - [MHMC], Nalanda","","Nalanda, Bihar","NAAC-B","₹31.8 K / yr BHMS - avg fee",,
"Midnapore Homoeopathic Medical College and Hospital - [MHMCH], Midnapore","","Midnapore, West Bengal","CCH","₹3.38 K / yr BHMS - avg fee",,
"Motiwala homeopathic medical college, Nashik","","Nashik, Maharashtra","CCH","₹46.2 K / yr BHMS - avg fee",,"5 / 5 1 reviews"
"National Institute of Homeopathy - [NIH], Kolkata","","Kolkata, West Bengal","AICTE","₹19.6 K / yr BHMS - avg fee",,""
"Dr DY Patil Homeopathic Medical College and Research Centre, Pune","","Pune, Maharashtra","NAAC-A","₹61 K / yr BHMS - avg fee",,""
"RVS Homoeopathic Medical College and Hospital - [RVSHMCH], Coimbatore","","Coimbatore, Tamil Nadu","CCH, CCIM","₹31.8 K / yr BHMS - avg fee",,
"Shri Mahalaxmi Mahila Homoeopathic Medical College, Vadodara","","Vadodara, Gujarat","","-- BHMS",,
"Solan Homoeopathic Medical College and Hospital - [SHMCH], Solan","","Solan, Himachal Pradesh","CCH","-- BHMS",,
"Sri Sai Ram Homoeopathy Medical College and Research Centre, Chennai","","Chennai, Tamil Nadu","CCH","-- BHMS",,
"Sri Sai Ram Medical College for Siddha Ayurveda and Homoeopathy, Chennai","","Chennai, Tamil Nadu","","-- BAMS",,""
"AVS Ayurveda Mahavidyalaya, Bijapur","","Bijapur, Karnataka","CCIM","₹37.2 K / yr BAMS - avg fee",,
"Acharya Deshabhushan Ayurvedic Medical College and Hospital, Belgaum","","Belgaum, Karnataka","UGC","-- BAMS",,
"Ahalia Ayurveda Medical College - [AAMC], Palakkad","","Palakkad, Kerala","CCIM","₹45 K / yr BAMS - avg fee",,
"Anugraha School of Ayurveda Nursing, Pathanamthitta","","Pathanamthitta, Kerala","UGC","-- MD",,
"Ayurved Mahavidyalaya & Seth R. V. Ayurved Hospital, Sion, Mumbai","","Mumbai, Maharashtra","","-- BAMS",,""
"Ayurvedic and Unani Tibbia College, New Delhi","","New Delhi, Delhi NCR","AICTE","₹1.62 K / yr BAMS - avg fee",,""
"Bapuji Ayurvedic Medical College and Hospital, Bangalore","","Bangalore, Karnataka","CCIM","₹28.6 K / yr BAMS - avg fee",,
"Bharati Vidyapeeth College of Ayurved - [BVCA], Pune","","Pune, Maharashtra","CCIM, NAAC-A","₹1.85 L / yr BAMS - avg fee",,"3.8 / 5 1 reviews"
"DGM Ayurvedic Medical College, Gadag","","Gadag, Karnataka","CCIM","₹16.9 K / yr BAMS - avg fee",,"4.5 / 5 1 reviews"
"Dr. B.N.M. Rural Ayurvedic Medical College, Bijapur","","Bijapur, Karnataka","IAP","-- BAMS",,""
"Dr DY Patil College of Ayurved, Navi Mumbai","","Navi Mumbai, Maharashtra","NAAC","-- BAMS",,
"Gaur Brahman Ayurvedic College, Rohtak","","Rohtak, Haryana","CCIM","₹66 K / yr BAMS - avg fee",,
"Guru Nanak Ayurvedic Medical College and Research Institute, Ludhiana","","Ludhiana, Punjab","CCIM","₹80 K / yr BAMS - avg fee",,
"Indian Institute of Ayurvedic Medicine and Research - [IIAMR], Bangalore","","Bangalore, Karnataka","CCIM","-- BAMS",,
"Jammu Institute of Ayurveda and Research College - [JIAR], Jammu","","Jammu, Jammu and Kashmir","MCI","-- BAMS",,"3.7 / 5 1 reviews"
"KMCT Ayurveda Medical College Manassery, Kozhikode","","Kozhikode, Kerala","CCIM","₹46.2 K / yr BAMS - avg fee",,
"National Institute of Tuberculosis and Respiratory Diseases -[NITRD], New Delhi","","New Delhi, Delhi NCR","MHRD","₹80 K / yr Diplomate National...",,
"Muniyal Institute of Ayurveda Medical Sciences, Manipal","","Manipal, Karnataka","CCIM","-- BAMS",,"3.9 / 5 1 reviews"
"Murari Lal Rasiwasia Ayurvedic College, Bhiwani","","Bhiwani, Haryana","CCIM","-- BAMS",,
"Nangelil Ayurveda Medical College, Ernakulam","","Ernakulam, Kerala","CCIM","₹50 K / yr BAMS - avg fee",,
"National Institute of Ayurveda, Jaipur","","Jaipur, Rajasthan","AICTE","-- BAMS",,""
"National Institute of Siddha - [NIS], Chennai","","Chennai, Tamil Nadu","UGC","₹40 K / yr MD - avg fee",,
"PN Panicker Souhruda Ayurveda Medical College, Kasaragod","","Kasaragod, Kerala","","₹50 K / yr BAMS - avg fee",,
"Poomulli Neelakandan Namboodiripad Memorial Ayurveda Medical College - [PNNM], Palakkad","","Palakkad, Kerala","","₹50 K / yr BAMS - avg fee",,
"Pankajakasthuri Ayurveda Medical College - [PAMC] Kattakkada, Thiruvananthapuram","","Thiruvananthapuram, Kerala","CCIM","₹50 K / yr BAMS - avg fee",,
"R.A. Podar Ayurved Medical College, Mumbai","","Mumbai, Maharashtra","","-- BAMS",,"2.7 / 5 2 reviews"
"S.N.V.V Society's S.G.V Ayurvedic Medical College, Belgaum","","Belgaum, Karnataka","CCIM","₹28.6 K / yr BAMS - avg fee",,
"Santhigiri Ayurveda & Siddha Vaidyasala, Palakkad","","Palakkad, Kerala","AICTE","-- BAMS",,
"Santhigiri Ayurveda Medical College - [SAMC], Palakkad","","Palakkad, Kerala","CCIM","₹52.5 K / yr BAMS - avg fee",,
"Shri Basaveshwara Vidya Vardhak Sangha Ayurvedic Medical College, Bagalkot","","Bagalkot, Karnataka","CCIM","-- BAMS",,
"Shri Vijay Mahantesh Vidya Vardhak Sangha Ayurvedic Medical College - [SVMVVS], Bagalkot","","Bagalkot, Karnataka","CCIM","-- BAMS",,""
"SDM Trust Ayurvedic Medical College and Research Institute, Bagalkot","","Bagalkot, Karnataka","CCIM","-- BAMS",,""
"Smt KC Ajmera Ayurved Mahavidyalya, Dhule","","Dhule, Maharashtra","CCIM","-- BAMS",,
"College of Veterinary Science and Animal Husbandry, Mathura","","Mathura, Uttar Pradesh","ICAR","₹46.5 K / yr M.Phil/Ph.D in Med...",,
"IPD College, New Delhi","","New Delhi, Delhi NCR","AICTE","-- M.Phil/Ph.D in Med...",,
"Indian Institute of Crafts and Design - [IICD], Jaipur","","Jaipur, Rajasthan","UGC","-- Graduate Diploma i...",,
"Institute of Professional Studies and Research, New Delhi","","New Delhi, Delhi NCR","","-- B.Sc (Medicine)",,""
"Kailash Institute of Nursing and Paramedical Sciences, Greater Noida","","Greater Noida, Uttar Pradesh","INC","₹46.9 K / yr Bachelor of Physio...",,"3.6 / 5 2 reviews"
"Syamaprasad Institute of Technology and Management - [SITM], Kolkata","","Kolkata, West Bengal","AICTE","-- BHMS",,
"All India Institute of Medical Sciences - [AIIMS], Raipur","","Raipur, Chhattisgarh","MCI, MHRD","₹914 / yr MBBS - avg fee",,""
"Luxmi Bai Institute of Dental Sciences and Hospital, Patiala","","Patiala, Punjab","DCI","-- B.Sc (Medicine)",,"3.7 / 5 2 reviews"
"Maharashtra Institute of Medical Sciences and Research - [MIMSR], Latur","","Latur, Maharashtra","AICTE","₹4.7 L / yr MBBS - avg fee",,"3.4 / 5 2 reviews"
"Shine Abdur Razzaque Ansari Institute of Health Education and Research, Ranchi","","Ranchi, Jharkhand","CCIM","-- B.Sc (Nursing)",,""
"Innocent Hearts Group of Institutions, Jalandhar","","Jalandhar, Punjab","AICTE","-- B.Sc (Medicine)",,
"Babu Shivnath Agrawal College - [BSA], Mathura","","Mathura, Uttar Pradesh","","-- B.Sc (Medicine)",,""
"Sri Padmavati Mahila Visvavidyalayam - [SPMVV], Tirupati","","Tirupati, Andhra Pradesh","UGC, NAAC-A","₹3 K / yr PG Diploma in Medi...",,""
"ATSVS Siddha Medical College, Kanyakumari","","Kanyakumari, Tamil Nadu","CCIM","-- BAMS",,
"Bhargava Paramedical College, Jammu","","Jammu, Jammu and Kashmir","AICTE","-- UG Diploma in Medi...",,
"Gian Sagar College of Paramedical Sciences, Patiala","","Patiala, Punjab","AICTE","₹19.7 K / yr UG Diploma in Medi...",,
"Sardar Bhagwan Singh Post Graduate Institute of Biomedical Science & Research, Dehradun","","Dehradun, Uttarakhand","PCI","₹37 K / yr Bachelor of Physio...",,"3.8 / 5 2 reviews"
"Shivalik Institute of Paramedical Technology - [SIPT], Chandigarh","","Chandigarh, Chandigarh","AICTE, UGC","₹81 K / yr B.Sc (Medicine) - ...",,""
"ACPM Medical College, Dhule","","Dhule, Maharashtra","MCI","₹4.2 L / yr MBBS - avg fee",,""
"MAS Institute of Para Medical Sciences - AIPS, Aligarh","","Aligarh, Uttar Pradesh","RCI","-- UG Diploma in Medi...",,
"AMS Durgabai Deshmukh General Hospital and Research Centre, Chennai","","Chennai, Tamil Nadu","BCI, NAAC, UGC","-- UG Certificate in ...",,
"Aarupadai Veedu Medical College - [AVMC], Pondicherry","","Pondicherry, Puducherry","MCI","₹15.3 L / yr MBBS - avg fee",,"2.1 / 5 2 reviews"
"Acharya Institute of Health Sciences - [AIHS], Bangalore","","Bangalore, Karnataka","INC, KNC, IAP","₹68.9 K / yr Bachelor of Physio...",,
"Acharya Shri Chander College of Medical Sciences, Jammu","","Jammu, Jammu and Kashmir","MCI","₹39 K / yr MBBS - avg fee",,"3.8 / 5 3 reviews"
"Adesh Institute of Biomedical Sciences, Bathinda","","Bathinda, Punjab","","-- B.Sc (Medicine)",,""
"Adesh Institute of Medical Sciences and Research - [AIMSR], Bathinda","","Bathinda, Punjab","MCI","-- MBBS",,"3.6 / 5 1 reviews"
"Adhiparasakthi College of Physiotherapy, Kanchipuram","","Kanchipuram, Tamil Nadu","","₹28 K / yr Bachelor of Physio...",,
"Adhunik Institute of Education and Research-[AIER], Ghaziabad","","Ghaziabad, Uttar Pradesh","UGC","-- Bachelor of Physio...",,""
"Adichunchanagiri Institute of Medical Sciences - [AIMS], Mandya","","Mandya, Karnataka","MCI","₹17.8 K / yr MBBS - avg fee",,"4.4 / 5 1 reviews"
"Agartala Government Medical College, Agartala","","Agartala, Tripura","MCI","₹17 K / yr MBBS - avg fee",,
