College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Maharaja Agrasen Medical College - [MAMC], Agroha","6.9/10","Agroha, Haryana","MCI","₹47.7 K / yr Bachelor of Physio...",,""
"NRI Medical College - [NRIAS], Guntur","6.8/10","Guntur, Andhra Pradesh","MCI","₹34 K / yr B.Sc (Medicine) - ...",,"4.5 / 5 3 reviews"
"Pramukhswami Medical College - [PSMC], Anand","6.8/10","Anand, Gujarat","MCI","-- MBBS",,""
"Assam Medical College, Dibrugarh","6.8/10","Dibrugarh, Assam","MCI","₹25 K / yr MBBS - avg fee",,"3.9 / 5 3 reviews"
"Janardan Rai Nagar Rajasthan Vidyapeeth University - [JRNRVU], Udaipur","6.8/10","Udaipur, Rajasthan","AICTE, UGC, NAAC-A","₹95 K / yr BHMS - avg fee",,"3.8 / 5 17 reviews"
"GSL Medial College and General Hospital, Rajahmundhry","6.8/10","Rajahmundhry, Andhra Pradesh","MCI","-- MBBS",,"3.7 / 5 4 reviews"
"Hamdard Institute of Medical Sciences and Research - [HIMSR], New Delhi","6.8/10","New Delhi, Delhi NCR","MCI","₹1.07 L / yr Bachelor of Physio...",,"4 / 5 1 reviews"
"GCS Medical College, Hospital & Research Centre, Ahmedabad","6.8/10","Ahmedabad, Gujarat","MCI","₹4 L / yr MBBS - avg fee",,""
"Bhaskar Medical College - [BMC], Hyderabad","6.8/10","Hyderabad, Telangana","MCI","₹1.82 L / yr MBBS - avg fee",,"3.8 / 5 1 reviews"
"Smt Kashibai Navale Medical College and General Hospital - [SKNMCGH], Pune","6.8/10","Pune, Maharashtra","MCI","₹5.73 L / yr MBBS - avg fee",,"4.4 / 5 1 reviews"
"Darbhanga Medical College, Darbhanga","6.8/10","Darbhanga, Bihar","MCI","₹6 K / yr MBBS - avg fee",,""
"Mahatma Gandhi Memorial Medical College - [MGMMC], Indore","6.8/10","Indore, Madhya Pradesh","MCI","₹35 K / yr MBBS - avg fee",,"4.2 / 5 2 reviews"
"Jiwaji University, Gwalior","6.8/10","Gwalior, Madhya Pradesh","UGC","₹11.9 K / yr M.Phil/Ph.D in Med...",,"3.2 / 5 12 reviews"
"Mamata Medical College, Khammam","6.8/10","Khammam, Telangana","NAAC","-- MBBS",,"1.5 / 5 1 reviews"
"St John's Medical College, Bangalore","6.8/10","Bangalore, Karnataka","MCI, NAAC","₹4.95 L / yr MBBS - avg fee",,""
"Nilratan Sircar Medical College & Hospital - [NRS], Kolkata","6.8/10","Kolkata, West Bengal","MCI","₹15 K / yr MD - avg fee",,"3.7 / 5 2 reviews"
"Goa Medical College and Hospital, Tiswadi","6.8/10","Tiswadi, Goa","MCI","₹24 K / yr Bachelor of Physio...",,"3.4 / 5 1 reviews"
"Moti Lal Nehru Medical College - [MLNMC], Allahabad","6.8/10","Allahabad, Uttar Pradesh","MCI","₹3.28 K / yr MBBS - avg fee",,"3.5 / 5 1 reviews"
