"1062","Bachelor of Computer Application [BCA] Get Detailed Fees","37,500"
"1062","Master of Social Work [MSW] Get Detailed Fees","37,600"
"1062","Master of Commerce [M.Com] Get Detailed Fees","37,600"
"1062","Diploma",""
"1070","Bachelor of Arts [BA] Get Detailed Fees","4,060"
"1070","Bachelor of Commerce [B.Com] Get Detailed Fees","4,060"
"1070","Post Graduate Diploma in Computer Applications [PGDCA] Get Detailed Fees","23,260"
"1070","Diploma in Computer Application [DCA] Get Detailed Fees","13,260"
"1070","Certificate Course in Office Automation",""
"1077","Bachelor of Arts [BA] Get Detailed Fees","1,110 *"
"1077","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","1,190 *"
"1077","Bachelor of Science [B.Sc] Get Detailed Fees","4,015 *"
"1077","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","6,145 *"
"1077","Bachelor of Library and Information Science [B.Lib.I.Sc] Get Detailed Fees","5,000"
"1077","Bachelor of Commerce [B.Com] Get Detailed Fees","1,140 *"
"1077","Bachelor of Commerce [B.Com] {Hons.} (Accounting and Finance) Get Detailed Fees","1,230 *"
"1081","Bachelor of Arts [BA]",""
"1081","Bachelor of Commerce [B.Com]",""
"1081","Bachelor of Science [B.Sc]",""
"1085","Bachelor of Science [B.Sc] Get Detailed Fees","6,450"
"1085","Bachelor of Arts [BA] Get Detailed Fees","6,270"
"1085","Bachelor of Commerce [B.Com] Get Detailed Fees","6,270"
"1085","Post Graduate Diploma in Computer Applications [PGDCA]",""
"1085","Certification",""
"1087","Bachelor of Arts [BA] Get Detailed Fees","3,757"
"1087","Bachelor of Science [B.Sc] Get Detailed Fees","4,257"
"1087","Bachelor of Education [B.Ed] Get Detailed Fees","4,925"
"1087","Bachelor of Commerce [B.Com] Get Detailed Fees","10,500"
"1087","Master of Arts [M.A] Get Detailed Fees","9,500"
"1090","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","6,840"
"1090","Bachelor of Arts [BA] Get Detailed Fees","6,840"
"1090","Bachelor of Commerce [B.Com] Get Detailed Fees","5,220"
"1090","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","5,220"
"1113","Bachelor of Arts [BA] Get Detailed Fees","1,112"
"1113","Bachelor of Commerce [B.Com] Get Detailed Fees","1,112"
"1113","Bachelor of Science [B.Sc]",""
"1113","Master of Arts [M.A] Get Detailed Fees","11,865"
"1113","Master of Commerce [M.Com]",""
"1113","Master of Science [M.Sc] Get Detailed Fees","27,008"
"1114","Bachelor of Commerce [B.Com] Get Detailed Fees","18,000"
"1114","Bachelor of Science [B.Sc] Get Detailed Fees","22,500"
"1114","Bachelor of Arts [BA] (English with Journalism) Get Detailed Fees","18,000"
"1114","Bachelor of Social Work [BSW] Get Detailed Fees","18,000"
"1114","Bachelor of Business Administration [BBA] Get Detailed Fees","18,000"
"1114","Bachelor of Computer Application [BCA] Get Detailed Fees","37,500"
"1114","Master of Arts [MA] (English Literature) Get Detailed Fees","37,500"
"1114","Master of Social Work [MSW] Get Detailed Fees","37,500"
"1114","Master of Commerce [M.Com] (Finance) Get Detailed Fees","37,500"
"1114","Master of Communication & Journalism (MCJ) Get Detailed Fees","37,500"
"1118","Master of Business Administration [MBA] Get Detailed Fees","40,000"
"1118","Bachelor of Arts [BA] Get Detailed Fees","38,600"
"1118","Bachelor of Commerce [B.Com] Get Detailed Fees","38,600"
"1118","Bachelor of Science [B.Sc] Get Detailed Fees","40,500"
"1118","Bachelor of Business Administration [BBA] Get Detailed Fees","38,600"
"1118","Bachelor of Social Work [BSW] Get Detailed Fees","38,600"
"1118","Master of Arts [MA] (English) Get Detailed Fees","52,200"
"1118","Master of Social Work [MSW] Get Detailed Fees","52,200"
"1118","Master of Commerce [M.Com] (Finance) Get Detailed Fees","52,200"
"1118","Master of Science [M.Sc] (Computer Science) Get Detailed Fees","52,200"
"1135","Bachelor of Arts [BA]",""
"1135","Bachelor of Commerce [B.Com]",""
"1135","Bachelor of Science [B.Sc]",""
"1136","Bachelor of Vocational Studies [B.Voc] Get Detailed Fees","4,346"
"1136","Bachelor of Arts [BA] Get Detailed Fees","2,843"
"1136","Bachelor of Commerce [B.Com] Get Detailed Fees","2,943"
"1136","Bachelor of Science [B.Sc] Get Detailed Fees","3,057"
"1136","Bachelors of Computer Science [BCS] Get Detailed Fees","17,886"
"1136","Bachelor of Computer Application [BCA] Get Detailed Fees","17,886"
"1136","Master of Arts [M.A] Get Detailed Fees","5,928"
"1136","Master of Science [M.Sc] Get Detailed Fees","19,618"
"1136","Master of Commerce [M.Com] Get Detailed Fees","6,298"
"1136","Master of Computer Applications [M.C.A]",""
"1136","Master of Science [M.S] (Physics) Get Detailed Fees","19,618"
"1136","Ph.D",""
"1136","Post Graduate Diploma in Marketing Management Get Detailed Fees","5,048"
"1137","Bachelor of Arts [BA]",""
"1137","Bachelor of Commerce [B.Com]",""
"1137","Bachelor of Science [B.Sc]",""
"1137","Bachelor of Computer Application [BCA]",""
"1137","Master of Science [M.Sc] (Pharmaceutical Chemistry)",""
"1137","Master of Commerce [M.Com]",""
"1137","Ph.D. (Commerce)",""
"1150","Bachelor of Arts [BA] Get Detailed Fees","1,498"
"1150","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","1,582"
"1150","Bachelor of Science [B.Sc] Get Detailed Fees","1,828"
"1150","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","2,412"
"1150","Bachelor of Commerce [B.Com] Get Detailed Fees","1,708"
"1150","Bachelor of Commerce [B.Com] {Hons.} (Accountancy) Get Detailed Fees","1,612"
"1154","Bachelor of Arts [BA]",""
"1154","Bachelor of Business Management [BBM]",""
"1154","Bachelor of Commerce [B.Com]",""
"1154","Bachelor of Science [B.Sc]",""
"1154","Master of Arts [M.A]",""
"1154","Master of Commerce [M.Com]",""
"1154","Master of Science [M.Sc]",""
"1158","Bachelor of Arts [BA]",""
"1158","Bachelor of Arts [B.A] {Hons.}",""
"1158","Bachelor of Commerce [B.Com]",""
"1158","Bachelor of Commerce [B.Com] {Hons.} (Accountancy)",""
"1168","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","2,393"
"1168","Bachelor of Arts [BA] Get Detailed Fees","2,243"
"1168","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","5,783"
"1168","Bachelor of Commerce [B.Com] Get Detailed Fees","2,197"
"1168","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","2,247"
"1168","Bachelor of Science [B.Sc] (Biological Science) Get Detailed Fees","3,483"
"1187","Bachelor of Science [B.Sc] Get Detailed Fees","7,500"
"1187","Bachelor of Arts [BA] Get Detailed Fees","4,500"
"1187","Bachelor of Commerce [B.Com] Get Detailed Fees","6,000"
"1187","Bachelor of Business Administration [BBA] Get Detailed Fees","6,000"
"1187","Bachelor of Computer Application [BCA] Get Detailed Fees","10,000"
"1187","Master of Science [M.Sc] Get Detailed Fees","20,000"
"1187","Master of Arts [MA] (English) Get Detailed Fees","6,000"
"1187","Master of Commerce [M.Com] Get Detailed Fees","7,500"
"1187","Master of Philosophy [M.Phil] Get Detailed Fees","25,000"
"1187","Ph.D. (Commerce) Get Detailed Fees","45,000"
"1200","Master of Business Administration [MBA] Get Detailed Fees","60,000"
"1200","Bachelor of Science [B.Sc] Get Detailed Fees","44,000"
"1200","Bachelor of Commerce [B.Com] Get Detailed Fees","51,000"
"1200","Bachelor of Business Administration [BBA] Get Detailed Fees","38,000"
"1200","Bachelor of Arts [BA] (English Literature) Get Detailed Fees","32,000"
"1200","Bachelor of Computer Application [BCA] Get Detailed Fees","44,000"
"1200","Master of Commerce [M.Com] Get Detailed Fees","33,000"
"1200","Master of Science [M.Sc] Get Detailed Fees","30,000"
"1200","Master of Arts [MA] (English Literature) Get Detailed Fees","30,000"
"1200","Master of Computer Applications [M.C.A] Get Detailed Fees","40,000"
"1200","Master of Philosophy [M.Phil] Get Detailed Fees","36,000"
"1200","Ph.D Get Detailed Fees","40,000"
"1202","Bachelor of Arts [BA] Get Detailed Fees","790"
"1202","Bachelor of Science [B.Sc] Get Detailed Fees","790"
"1202","Bachelor of Commerce [B.Com] Get Detailed Fees","790"
"1202","Master of Commerce [M.Com] Get Detailed Fees","790"
"1207","Bachelor of Arts [BA]",""
"1207","Bachelor of Commerce [B.Com]",""
"1207","Bachelor of Science [B.Sc] (Home Science)",""
"1207","Master of Arts [M.A]",""
"1207","Master of Commerce [M.Com] (Accountancy)",""
"1207","Master of Science [M.Sc] (Home Science)",""
"1207","Post Graduate Diploma in Computer Applications [PGDCA]",""
"1210","Bachelor of Science [B.Sc]",""
