"55","Japan","Yokohama National University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/yokohama-national-university_592560cf2aeae70239af4d33_medium.jpg","null","null","/node/297174","","Public","Very High","9,884","827","695","null",
"56","Japan","Gunma University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/gunma-university_592560cf2aeae70239af4b77_medium.jpg","null","null","/node/294288","","Public","Very High","6,441","652","206","null",
"57","Japan","Yamaguchi University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/yamaguchi-university-_592560cf2aeae70239af4e8c_medium.jpg","null","null","/node/296770","","Public","High","10,436","1,152","338","null",
"58","Japan","Aoyama Gakuin University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/aoyama-gakuin-university_592560cf2aeae70239af4a9a_medium.jpg","null","null","/node/294633","","Private","Medium","18,872","1,024","522","null",
"59","Japan","Doshisha University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/doshisha-university_592560cf2aeae70239af4b25_medium.jpg","null","null","/node/294496","","Private","High","29,166","1,433","1,109","null",
"60","Japan","Saitama University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/saitama-university_592560cf2aeae70239af4ca2_medium.jpg","null","null","/node/297476","","Public","Very High","8,602","649","423","null",
"61","Japan","Tokai University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokai-university_592560cf2aeae70239af4ce7_medium.jpg","null","null","/node/297249","","Private","High","29,881","2,090","683","null",
"62","Japan","Ritsumeikan University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/ritsumeikan-university_592560cf2aeae70239af4c92_medium.jpg","null","null","/node/297500","","Private","High","35,529","2,552","1,856","null",
"63","Japan","Shinshu University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/shinshu-university-_592560cf2aeae70239af4e84_medium.jpg","null","null","/node/296777","","Public","Very High","10,854","818","337","null",
"64","Japan","Ochanomizu University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/ochanomizu-university_592560cf2aeae70239af4c52_medium.jpg","null","null","/node/294746","","Public","High","2,930","144","165","null",
"65","Japan","Kyoto Institute of Technology","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kyoto-institute-of-technology_592560cf2aeae70239af5222_medium_0.jpg","null","null","/node/294918","","Public","Low","3,993","227","136","null",
"66","Japan","Seikei University","null","","null","null","/node/294934","","Private","Low","7,627","402","31","null",
"67","Japan","Kansai Gaidai University","null","","null","null","/node/294901","","Private","Low","10,925","350","673","null",
"68","Japan","Kyoto Seika University","null","","null","null","/node/294064","","null","null","null","null","null","null",
"69","Japan","Otsuma Women's University","null","","null","null","/node/296876","","null","null","null","null","null","null",
"70","Japan","Kagawa Education Institute of Nutrition (Kagawa Nutrition Univesity)","null","","null","null","/node/294898","","Private","Low","2,130","53","1","null",
"71","Japan","Yamaguchi Prefectural University","null","","null","null","/node/294944","","Public","Low","1,376","221","13","null",
"72","Japan","Akita International University","null","","null","null","/node/294885","","Public","Low","941","82","45","null",
"73","Japan","Nanzan University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/nanzan-university_592560cf2aeae70239af5229_medium.jpg","null","null","/node/294928","","Private","Low","9,434","478","136","null",
"74","Japan","Nagoya City University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/nagoya-city-university-_592560cf2aeae70239af4e7e_medium.jpg","null","null","/node/297330","","null","null","null","null","null","null",
"75","Japan","Iwate Prefectural University","null","","null","null","/node/294895","","Public","Low","2,169","149","19","null",
"76","Japan","Doshisha Women's College of Liberal Arts","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/doshisha-womens-college-of-liberal-arts_592560cf2aeae70239af5200_medium.jpg","null","null","/node/294888","","Private","Low","6,523","628","8","null",
"77","Japan","Tokyo Woman's Christian University","null","","null","null","/node/294941","","Private","Low","3,983","90","19","null",
"78","Japan","Ritsumeikan Asia Pacific University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/ritsumeikan-asia-pacific-university-_592560cf2aeae70239af4e82_medium.jpg","null","null","/node/296780","","null","Low","5,868","206","2,704","null",
"79","Japan","Kyoto Sangyo University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kyoto-sangyo-university-_592560cf2aeae70239af4e7c_medium.jpg","null","null","/node/297332","","Private","Low","13,015","293","140","null",
"80","Japan","Fukushima University","null","","null","null","/node/294889","","Public","Low","4,442","173","67","null",
"81","Japan","Mukogawa Women's University","null","","null","null","/node/294923","","Private","Low","8,715","208","11","null",
"82","Japan","Shimane University","null","","null","null","/node/294122","","null","null","null","null","null","null",
"83","Japan","Kobe Design University","null","","null","null","/node/294066","","null","null","null","null","null","null",
"84","Japan","University of Fukui","null","","null","null","/node/295440","","null","null","null","null","null","null",
"85","Japan","Kanazawa Institute of Technology","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kanazawa-institute-of-technology_592560cf2aeae70239af520c_medium.jpg","null","null","/node/294900","","Private","Low","7,316","342","4","null",
"86","Japan","Musashi University","null","","null","null","/node/294925","","Private","Low","4,408","238","22","null",
"87","Japan","Asahikawa Medical University","null","","null","null","/node/295807","","null","null","null","null","null","null",
"88","Japan","International University of Japan","null","","null","null","/node/294193","","null","null","null","null","null","null",
